简直GPT训练师，人工智能训练师，AI训练师,经验不限,本科,100-150元/时,,,朋兀,社交网络与媒体,0-20人,杭州·拱墅区·德胜,"深度学习,强化学习,自然语言处理算法,分布式训练,算法工程化经验"
Senior AI Engineer（高级人工智能工程师）,1-3年,本科,25-50K·14薪,,,RingCentral铃盛,已上市,500-999人,杭州·西湖区·黄龙,"大模型算法,强化学习,自然语言处理算法,Python,C/C++,算法工程化经验"
AI数据标注专员,1-3年,本科,7-8K·13薪,,,升恒科技,未融资,20-99人,杭州·余杭区·仓前,"全职工作,标注数据分析,数据标注,不接受居家办公,图片标注,区域标注,标框标注,分类标注"
人工智能训练师,1-3年,本科,5-10K·13薪,,,Ulike,未融资,1000-9999人,杭州·滨江区·长河,全职工作
AI智能训练师,1-3年,本科,8-12K,,,冠旭电子,未融资,1000-9999人,杭州·西湖区·西溪,"不含销售的客服工作,线上客服,正常工作制,全职工作,电商客服"
AI产品经理,1-3年,本科,18-25K·14薪,,,云观秋毫,天使轮,0-20人,杭州·余杭区·仓前,B端产品
AI数据中心主管,1-3年,本科,9-13K·13薪,,,杭州智团,C轮,100-499人,杭州·滨江区·长河,"SQL,SPSS,Python"
AI产品资深专家,1-3年,本科,100-200K·15薪,,,某知名互联网上市公司,已上市,1000-9999人,杭州,"机器学习类AI,语音类AI,C端产品,AI大模型,生成式大模型"
ai算法工程师,1-3年,本科,30-40K,,,某500强上市公司,已上市,10000人以上,杭州,"大模型算法,模型加速/性能优化,Python,C/C++,Java,算法工程化经验"
AI角色设计师,1-3年,本科,8-12K,,,杭州禹诺人型科技...,不需要融资,0-20人,杭州·西湖区·转塘,"写实类,第三人称,第一人称,原画,3D低模,PS"
AI 使能软件开发工程师,1-3年,本科,20-40K·15薪,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"C++,Python,STL,编译器开发经验,嵌入式软件经验"
AI实习生,1-3年,本科,100-150元/天,,,创值高科,不需要融资,100-499人,杭州·西湖区·文一路,助理
AI 工程师,1-3年,本科,50-80K,,,肇丰,其他生活服务,100-499人,杭州·西湖区·西溪,"搜索/推荐,Python,计算机相关专业,数学/统计相关专业,机器学习算法/工程化经验,GPT,大语言模型"
ai高级产品经理,5-10年,本科,30-40K·13薪,,,智诊科技,未融资,20-99人,杭州,"B端产品,智能医疗,辅助诊断"
AI工程师,5-10年,本科,350-400元/天,,,蚂蚁金服,未融资,10000人以上,杭州·西湖区·西湖,"Python,java,深度学习,机器学习,tensorflow,AI"
高级ai工程师,5-10年,本科,17-18K,,,西安华为,未融资,10000人以上,杭州·滨江区·长河,"搜索/推荐,语音/图像识别,云计算,计算机相关专业,机器学习算法/工程化经验,深度学习经验"
AI产品策略运营,5-10年,本科,10-15K,,,亿达信息,不需要融资,1000-9999人,杭州·余杭区·仓前,"标注数据分析,产品运营,策略运营"
人工智能产品运营专家,5-10年,本科,23-35K·13薪,,,某500强上市公司,已上市,1000-9999人,杭州,"平台类,社区类,B端产品,C端产品,数据分析能力好,用户同理心强"
ai产品经理,5-10年,本科,20-30K·14薪,,,顾家家居股份有限公司,家具/家电/家居,10000人以上,杭州·上城区·火车东站,"AIGC,视觉类AI,AI数字空间,AI设计类工具"
ai训练工程师,5-10年,本科,15-25K·15薪,,,星临科技,A轮,20-99人,杭州·西湖区·西溪,"Python,计算机相关专业,全栈开发经验,机器学习工程经验,大模型,模型推理,推理加速"
人工智能训练师（金融）,5-10年,本科,15-25K,,,某知名互联网公司,不需要融资,1000-9999人,杭州,金融
AI产品经理,5-10年,本科,20-40K,,,南讯软件,A轮,100-499人,杭州,"B端产品,机器学习类AI,大模型应用,AI产品应用"
人工智能产品经理,5-10年,本科,35-60K·16薪,,,某500强上市公司,已上市,10000人以上,杭州,"C端产品,AI产品,生成内容,AIGC"
ai软件工程师,5-10年,本科,15-16K,,,良胜,A轮,20-99人,杭州·余杭区·良渚,语音/图像识别
人工智能兼职讲师,5-10年,本科,40-45K,,,惟数,天使轮,0-20人,杭州·西湖区·西溪,"深度学习,数据挖掘,Python,大数据处理工具(Spark/Hadoop/Hive),算法工程化经验,教育培训,人工智能"
ai人工智能工程师,5-10年,本科,11-22K,,,中科云创,智能硬件,20-99人,杭州·拱墅区·笕桥,"Python,C/C++"
产品经理（AI）,5-10年,本科,15-23K·14薪,,,顺网科技,已上市,1000-9999人,杭州·西湖区·西溪,"C端产品,AIGC,社交,游戏"
人工智能,5-10年,本科,15-18K,,,中交信科集团,未融资,500-999人,杭州·余杭区·仓前,"Python,C/C++,TensorFlow"
AI架构专家,5-10年,本科,50-60K·14薪,,,某知名通信公司,通信/网络设备,1000-9999人,杭州,"深度学习,推荐算法,Java,Python,分布式训练,算法工程化经验"
AI语音工程师,5-10年,本科,20-40K·13薪,,,趣尘科技,未融资,100-499人,杭州·滨江区·长河,Python
AI推理框架工程师,5-10年,本科,30-60K·13薪,,,某大型电子公司,B轮,100-499人,杭州,"模型加速/性能优化,并行计算,发表算法相关优秀论文,参加算法相关竞赛/获奖,GPU编程,CUDA、cuDNN,算子开发/推理框架"
AI应用产品经理,5-10年,本科,30-60K·15薪,,,某大型知名移动互联网公司,移动互联网,10000人以上,杭州,"AI,大模型"
人工智能解决方案专家,5-10年,本科,25-40K·15薪,,,某大型互联网公司,B轮,100-499人,杭州,"系统集成,云服务,智慧城市信息化项目,计算机/通信相关专业,机械/电子工程相关专业,售前技术支持经验,PMP,信息系统项目管理师,AWS/Azure/阿里云相关认证,解决方案专家"
AI SDK工具链开发,5-10年,本科,40-70K·13薪,,,亿铸智能,天使轮,20-99人,杭州·萧山区·奥体中心,"C++,Linux开发/部署经验"
人工智能销售经理/BD经理,5-10年,本科,20-40K,,,南京智子引擎信息科技,A轮,20-99人,杭州·滨江区·长河,"渠道/机构客户开发（销售方向）,品牌合作（市场/PR方向）,个人客户开发（销售方向）,互联网/科技,对企业/机构（To B）销售经验,销售经验"
大数据人工智能工程师,5-10年,本科,16-30K,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"Java,Python,SQL,推荐算法,搜索算法,数据挖掘,数据分析"
AI设计服务销售经理,5-10年,本科,15-20K,,,白心科技,A轮,20-99人,杭州·拱墅区·上塘,"客户开发,互联网/科技,企业/机构（To B）,招商/商户拓展经验,对企业/机构（To B）销售经验,数据分析能力,服务意识,沟通能力"
资深产品经理（AI方向）,5-10年,本科,25-40K·16薪,,,某大型互联网上市集团公司,已上市,10000人以上,杭州,"B端产品,人工智能平台,AIGC"
AI实习生,5-10年,本科,80-100元/天,,,隐入科技,未融资,0-20人,杭州·滨江区·长河,"Python,PyTorch,TensorFlow,Scrapy,MongoDB,爬虫经验"
AI编译器开发,5-10年,本科,50-80K·16薪,,,某大型电子公司,C轮,100-499人,杭州,"C/C++,编译器"
AI计算专员,5-10年,本科,12-21K,,,立腾科技,不需要融资,20-99人,杭州·西湖区·文二路,"C/C++,AI计算专员,TensorFlow/PyTorch,计算机相关专业,云计算,Python,数学/统计相关专业"
人工智能产品专家,5-10年,本科,40-70K·16薪,,,某500强上市公司,B轮,10000人以上,杭州,"C端产品,AI,大语言模型/多模态"
AI技术员,5-10年,本科,6-9K,,,浙江和而泰,已上市,1000-9999人,杭州,公司内部维修/保养职位
