兼职-AI数据标注,经验不限,学历不限,15-25元/时,,,河北鼎联科技有限公司,大数据,20-99人,大连·甘井子区·七贤岭,"兼职工作,数据标注,图片标注,标框标注,接受居家办公"
it工程师,经验不限,本科,8-13K·14薪,,,双迪桃花卫生用品,医疗服务,20-99人,大连·西岗区·民权,"Python,IT技术支持经验"
AI图像算法工程师,经验不限,本科,10-15K,,,明日星科技,未融资,20-99人,大连·甘井子区·七贤岭,"TensorFlow,Caffe,Mxnet,PaddlePadd,百度飞桨,目标跟踪,目标检测,人脸识别"
游戏特效,经验不限,本科,6-8K,,,原欧,未融资,20-99人,大连·甘井子区·高新园区,"仙侠风,日韩,二次元,卡牌/战棋,休闲益智,AE,Spine"
人才发展经理（培训）,经验不限,本科,21-30K,,,某大型移动互联网公司,未融资,500-999人,大连,讲师/内训师经历
美工,经验不限,本科,3-5K,,,锋屹源工具,未融资,0-20人,大连,"CDR,不接受居家办公,亚马逊,PS,AI,汽车配件"
FAE技术支持工程师,经验不限,本科,10-12K·13薪,,,南通东华软件有限...,计算机服务,20-99人,大连·金州区·金石滩,"Python,人工智能"
印前设计排版,经验不限,中专/中技,5-6K,,,大连武氏辅料,印刷/包装/造纸,0-20人,大连·中山区·东港商务区,"文字排版设计,吊牌印刷,设计相关专业,美工设计,CDR应用,数码快印,全职,印刷品设计经验"
算法工程师,经验不限,中专/中技,13-25K,,,华通云控,智能硬件,20-99人,大连·甘井子区·高新园区,"机器学习,人工智能,物联网"
品牌策划经理,经验不限,中专/中技,7-8K,,,焖尚,不需要融资,500-999人,大连·沙河口区·西安路,"线上,数据分析能力,有策划经验,策划经理经验,线上活动"
抖音短视频内容策划拍摄剪辑,经验不限,中专/中技,5-10K,,,吉米创意,不需要融资,20-99人,大连·中山区·民主广场,"活动视频,短视频"
跨境电商运营,经验不限,中专/中技,4-9K,,,大连斯玛托,进出口贸易,20-99人,大连·甘井子区·高新园区,"电商店铺运营,母婴玩具,服饰鞋帽"
运营助理/专员,经验不限,中专/中技,3-6K,,,智城信管理咨询,咨询,0-20人,大连·甘井子区·高新园区,"活动策划,平台运营,数据分析"
平面设计,经验不限,中专/中技,3-4K,,,欧派科技,不需要融资,100-499人,大连·金州区·站前,"PS,c4d"
优化算法高级工程师,经验不限,中专/中技,6-7K·13薪,,,大连望海大数据信息,不需要融资,100-499人,大连·甘井子区·辛寨子,算法
动画制作/MG/课件动画,经验不限,中专/中技,4-7K,,,大连华盛教育科技,未融资,20-99人,大连·沙河口区·西安路,"2D动画,MG动画,教学课件,UI动画,产品演示动画,Flash,AI,PS,不接受居家办公"
计算机视觉算法工程师,经验不限,中专/中技,15-20K,,,大连锐库咨询有限公司,计算机服务,0-20人,大连·甘井子区·七贤岭,"深度学习,图像算法,Python"
售后技术支持,经验不限,中专/中技,4-5K,,,科美达机电,未融资,0-20人,大连,"人工智能,机器人,系统调试,技术沟通,自动化设备"
产品运营,经验不限,中专/中技,4-8K·13薪,,,顽石,未融资,0-20人,大连·金州区·开发区,"媒体类产品,平台类产品,用户增长,用研项目经验,会员体系搭建经验"
儿童AI智能教育课程授课老师,经验不限,中专/中技,3-5K,,,商塑(大连),未融资,20-99人,大连·中山区·港湾广场,"计算机教育,亲子教育,讲师"
设计组长,经验不限,中专/中技,5-6K,,,典尊教育,未融资,20-99人,大连·金州区·先进,广告设计
AI课程执行校长,经验不限,中专/中技,10-14K,,,学考乐科技教育,未融资,100-499人,大连·甘井子区·泉水,校区运营
国内电商运营,经验不限,中专/中技,4-8K,,,蓝扬食品,未融资,20-99人,大连·甘井子区·大连湾,"自有电商平台,抖音,不接受居家办公,B2B,B2C,平台整体运营,电子商务专业"
新媒体运营,经验不限,中专/中技,5-10K,,,马可颂教育科技,未融资,0-20人,大连·沙河口区·星海湾,"教育培训,短视频平台,知乎渠道,抖音/快手平台,纯文字,图文,视频,自媒体运营,内容运营,视频拍摄经验,艺术与设计,软文,平面设计,图文内容创作者,新媒体运营"
图像处理工程师,经验不限,中专/中技,12-24K,,,成者科技,B轮,100-499人,大连·甘井子区·火炬路,"视觉图像算法,深度学习算法,人脸识别,C语言,人工智能"
Linux 系统架构专家,经验不限,中专/中技,20-40K·15薪,,,亿咖通科技ECARX,已上市,1000-9999人,大连·甘井子区·高新园区,"C++,C,计算机相关专业,嵌入式/单片机开发经验,座舱"
知识付费课程编辑,经验不限,中专/中技,8-13K,,,出口成章,A轮,100-499人,大连·甘井子区·七贤岭,"线上教育,中学生,学前儿童/小学生,特长兴趣,人工智能,口才/播音主持,音乐剧,教育专业背景,课程研发经验,知识付费相关经验"
输入法运营设计师,经验不限,中专/中技,10-15K,,,纬创软件,已上市,1000-9999人,大连·甘井子区·七贤岭,"视觉设计,运营"
广告设计,经验不限,中专/中技,5-7K,,,煋火大盛体育集团...,培训/辅导机构,100-499人,大连·甘井子区·老甘井子,"VI设计,广告设计,海报传单设计,企业/自有品牌,PS,AI,不接受居家办公"
大型图文广告店前期设计排版,经验不限,中专/中技,4-6K,,,天问图文,未融资,20-99人,大连·甘井子区·高新园区,"不接受居家办公,PS,海报传单设计,广告/设计公司,封面设计,AI,画册设计"
平面/插画设计师,经验不限,中专/中技,200-300元/天,,,开易科技,电子/半导体/集成电路,0-20人,大连·沙河口区·白山路,"电商设计类插画,PS,远程办公,AI,兼职,宣传海报类插画,擅长手绘,接受居家办公,企业/自有品牌"
包装设计,经验不限,中专/中技,5-6K·13薪,,,云雅新晨,不需要融资,0-20人,大连·甘井子区·万达,"不接受居家办公,PS,包装贴纸/插画设计,AI,礼品,纸质包材,PhotoShop,美妆日化,快消品,熟悉包装规范,外包装箱设计,印刷排版,产品外观造型,全职兼职均可,熟悉各类包装材料,设计师,电子产品,电子商务,熟悉印刷工艺,企业/自有品牌"
视觉算法工程师,经验不限,中专/中技,21-26K,,,某知名机械设备上市公司,已上市,1000-9999人,大连,"TensorFlow/PyTorch,深度学习经验,CUDA,TensorFlow,计算机视觉"
短视频拍摄剪辑专员,经验不限,中专/中技,4-8K,,,大连益诚医疗器械销售,医疗健康,0-20人,大连·中山区·人民路,"短视频,活动视频,Premiere,剪辑"
产品经理,经验不限,中专/中技,7-12K,,,的高科技,不需要融资,20-99人,大连·沙河口区·马栏,"B端产品,网页产品,人工智能"
新媒体运营,经验不限,中专/中技,4-7K,,,上卉文化发展,广告营销,0-20人,大连·中山区·人民路,"一般企业（甲方）,广告策划,互联网广告,线上媒介,新媒体媒介"
创客课程设计,经验不限,中专/中技,4-7K,,,大连繁荣富强智能科技,天使轮,20-99人,大连·西岗区·人民广场,"培训机构,线下教育,线上教育,学前儿童/小学生,特长兴趣,职业与技能培训,人工智能,摄影摄像,创意/设计,电子商务,IT培训,有教育工作经验,课程研发经验,知识付费相关经验,有销售经验"
