数据分析师,4个月,本科,20-40K·15薪,,,某大型大数据公司,C轮,500-999人,北京,"Python,数学/统计相关专业,数据分析/挖掘经验,金融行业数据相关经验"
数据分析师,4个月,本科,15-18K·14薪,,,新东方,已上市,10000人以上,北京·海淀区·中关村,"SQL,SPSS,R,计算机相关专业,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,4个月,本科,11-20K·13薪,,,北京资采,B轮,100-499人,北京·西城区·虎坊桥,"SQL,数据分析/挖掘经验,数据分析,运营商,精准化营销"
数据分析师,4个月,本科,8-13K·13薪,,,西盈信息THNWIN,未融资,20-99人,北京,"数据分析,英语,海外媒体"
数据分析师,4个月,本科,15-25K,,,某大型互联网公司,D轮及以上,1000-9999人,北京,"SQL,Python"
数据分析师,4个月,本科,100-110元/天,,,线性视界,大数据,20-99人,北京·大兴区·亦庄,"SQL,R,数学/统计相关专业,计算机相关专业"
数据分析师,4个月,本科,20-40K·15薪,,,最右,D轮及以上,500-999人,北京·海淀区·学院路,SQL
数据分析师,4个月,本科,20-30K·14薪,,,金山办公软件,已上市,1000-9999人,北京·海淀区·上地,数据分析
高级数据分析师,4个月,本科,15-22K·13薪,,,望繁信科技,B轮,100-499人,北京·朝阳区·亚运村,"SQL,Power BI,Python,计算机相关专业,数据分析/挖掘经验,数学/统计相关专业,数据清洗"
数据分析师,4个月,本科,15-30K,,,加和科技,B轮,100-499人,北京·朝阳区·三里屯,"数学/统计相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验"
数据分析师,4个月,本科,20-30K,,,特斯拉 Tesla,已上市,10000人以上,北京·朝阳区·大望路,"SQL,Python,Tableau"
数据分析师,4个月,本科,13-18K·13薪,,,北京媚可美丽化妆...,未融资,100-499人,北京·朝阳区·常营,数学/统计相关专业
数据分析师,3-5年,本科,10-15K·13薪,,,彦成文化,未融资,20-99人,北京·朝阳区·双井,"中国移动,运营商"
高级数据分析师,3-5年,本科,20-35K,,,某大型大数据公司,C轮,500-999人,北京,"Python,SQL,SAS,计算机相关专业,风控相关经验,金融行业数据相关经验,评分卡"
数据分析师,3-5年,本科,10-11K,,,北京清普科技有限公司,环保,20-99人,北京·大兴区·大兴经济开发区,"大气环境,环保管家,生态环境"
数据分析师,3-5年,本科,25-45K,,,某大型大数据上市公司,已上市,500-999人,北京,"风控模型，评分,营销模型"
数据分析师,3-5年,本科,12-17K,,,华科,未融资,0-20人,北京·西城区·西直门,"Hive,SQL,数学/统计相关专业"
数据分析师,3-5年,本科,20-30K,,,智慧足迹,不需要融资,100-499人,北京·西城区·西单,"MySQL,数据分析,数据仓库"
Research Analyst 数据分析师 （社媒洞察）,3-5年,本科,8-10K,,,仟传,B轮,500-999人,北京·朝阳区·三里屯,"社媒舆情分析,数据洞察,商业分析"
数据分析师,3-5年,本科,15-20K,,,恒项科技,不需要融资,100-499人,北京·朝阳区·四惠东,SQL
数据分析师,3-5年,本科,35-65K·15薪,,,某大型知名移动互联网公司,不需要融资,10000人以上,北京,"社交类产品,平台类产品,电商类产品,社区类产品,生活服务/O2O,数学/统计学专业,电商"
数据分析师,3-5年,本科,15-30K·15薪,,,某知名互联网金融公司,互联网金融,1000-9999人,北京,"Python,SQL,Hive,金融行业数据相关经验"
数据分析师,3-5年,本科,22-25K,,,北方智企,未融资,20-99人,北京·东城区·安定门,"SQL,Power BI,计算机相关专业,大数据开发"
数据分析师,3-5年,本科,30-60K,,,某500强上市公司,已上市,10000人以上,北京,数学/统计相关专业
数据分析师,3-5年,本科,12-18K·13薪,,,头条易,A轮,100-499人,北京·朝阳区·国贸,"不限,Tableau,数据分析/挖掘经验,电商/零售行业数据相关经验,可视化,透视表,巨量引擎营销科学认证"
数据分析师 - 付费广告,3-5年,本科,20-40K,,,Shopee,已上市,1000-9999人,北京·海淀区·学院路,"数据分析/挖掘经验,数学/统计相关专业"
数据分析师,3-5年,本科,12-13K,,,博彦科技,已上市,10000人以上,北京·海淀区·安宁庄,"SQL,Python,Power BI,金融行业数据相关经验,数据分析/挖掘经验,广告投放分析"
数据分析师（财务）,3-5年,本科,25-30K,,,远光软件,已上市,1000-9999人,北京,Python
数据分析师,3-5年,本科,20-40K·15薪,,,某大型大数据公司,C轮,500-999人,北京,"SQL,R,Python"
数据分析师,3-5年,本科,7-10K,,,CODC,不需要融资,100-499人,北京·朝阳区·管庄,"SPSS,回归分析,方差分析,相关分析,因子分析,用户研究,PPT"
数据分析师,3-5年,本科,15-20K·13薪,,,AARKI,不需要融资,100-499人,北京·朝阳区·朝外,"数据分析,程序化广告,DSP,优化师,移动互联网出海"
数据分析师,3-5年,本科,10-15K,,,枫叶租车,移动互联网,100-499人,北京·朝阳区·双井,"SQL,Python,数据分析"
数据分析师,3-5年,本科,8-10K,,,北京爱科赛尔,不需要融资,100-499人,北京·海淀区·马连洼,"Power BI,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验,英语"
数据分析师,3-5年,本科,11-22K,,,金安创世,未融资,20-99人,北京·海淀区·牡丹园,"数学/统计相关专业,计算机相关专业,资金分析,公安,数据分析"
数据分析师,3-5年,本科,12-15K,,,北京南天软件有限公司,已上市,1000-9999人,北京·石景山区·古城,"SQL,Python,金融行业数据相关经验,风控相关经验,数据分析/挖掘经验"
数据分析师,3-5年,本科,10-15K,,,北科养老,未融资,20-99人,北京·西城区·西直门,SQL
数据分析师,3-5年,本科,25-40K,,,某知名互联网电商平台,C轮,1000-9999人,北京,数据分析/挖掘经验
数据分析师,3-5年,本科,20-40K·16薪,,,某大型大数据上市公司,已上市,500-999人,北京,"Python,信贷,建模,算法"
数据分析师,3-5年,本科,10-15K,,,省钱快报,C轮,20-99人,北京·东城区·柳芳,"SQL,Hive"
数据分析师,3-5年,本科,12-17K,,,北大软件,不需要融资,1000-9999人,北京·通州区·玉桥,"SQL,数据分析/挖掘经验"
数据分析师,3-5年,本科,10-15K,,,JCZ,已上市,100-499人,北京,"Python,SQL,数据分析/挖掘经验,数学/统计相关专业,计算机相关专业"
数据分析师,3-5年,本科,20-25K·15薪,,,某大型互联网金融公司,未融资,500-999人,北京,银行
数据分析师,经验不限,本科,13-26K·14薪,,,冲云破雾科技有限公司,游戏,20-99人,北京·海淀区·五道口,"SQL,SPSS,Tableau,数学/统计相关专业,数据分析/挖掘经验,文娱/游戏行业数据相关经验"
数据分析师,经验不限,本科,15-20K,,,础瑜广告,不需要融资,100-499人,北京·丰台区·总部基地,数据分析/挖掘经验
