数据专员,3-5年,本科,4-6K,,,西岗区宜企购生活...,批发/零售,20-99人,大连·西岗区·民权,业务数据分析
数据挖掘,3-5年,本科,8-12K,,,实干者科技,不需要融资,20-99人,大连·甘井子区·凌水,"Python,数据建模,数据统计"
均薪2w+给数据不盲打贷款销售,3-5年,本科,15-30K,,,大晟科技,电子商务,20-99人,大连·中山区·人民路,"电话销售经验,个人（To C）,互联网金融,金融产品,电话销售"
前台数据分析专员（社保，近地铁，包午餐）,3-5年,本科,4-5K,,,恩喜医疗美容,医疗服务,20-99人,大连·甘井子区·周水子,"亲和力强,熟悉商务礼仪,熟悉办公软件操作,接待/外联"
QA分析师,3-5年,本科,5-7K·14薪,,,晖致,未融资,1000-9999人,大连·金州区·马桥子,"QA,良好的英文能力,药物分析工作经验,药学相关专业,化学药,现场QA,文件QA,取样QA"
财务分析/财务BP,3-5年,本科,5-10K,,,大连沃兹跨境电子商务,未融资,20-99人,大连·西岗区·香炉礁,财务分析 财务BP
化验分析员,3-5年,本科,6-7K,,,百傲化学,不需要融资,500-999人,大连,精细与专用化学品
金融数据研究员,3-5年,本科,6-11K,,,文华财经,不需要融资,100-499人,大连·沙河口区·软件园,"期货研究,股票研究,宏观经济研究"
数据分析工程师,3-5年,本科,4-6K·13薪,,,融科储能装备,智能硬件,100-499人,大连,"计算机相关专业,数据分析/挖掘经验"
投资分析助理,3-5年,本科,4-5K,,,匠农科技,电子商务,0-20人,大连·中山区·人民路,"证券,助理,外语"
需求分析师,3-5年,本科,8-12K,,,谷聚网络,未融资,20-99人,大连,软件需求分析
数据仓库开发,3-5年,本科,21-22K·13薪,,,某大型知名企业服务公司,不需要融资,10000人以上,大连,"数据仓库开发,OLTP、OLAP"
分析工程师,3-5年,本科,20-21K,,,某大型医疗器械上市公司,已上市,100-499人,大连,"分析,色谱液质分析"
软件开发&测试&算法&网络安全&大数据工程师,3-5年,本科,15-30K·16薪,,,华为技术有限公司,不需要融资,10000人以上,大连·甘井子区·凌水,"Java,C,分布式经验,Docker,MySQL,Redis,云计算经验,Spring,Oracle,Python"
制造业经营分析专员,3-5年,本科,6-10K,,,连智智能,仪器仪表/工业自动化,100-499人,大连·甘井子区·营城子,"制造业从业经历,成本分析,数据分析"
数据统计员,3-5年,本科,4-6K,,,汇洲石化,机械设备/机电/重工,100-499人,大连,统计，绩效
买方分析师,3-5年,本科,10-11K,,,汇明悦能源,采掘/冶炼,20-99人,大连·中山区·胜利广场,"二级市场投资职位,基金,衍生品,股票"
数据专员,3-5年,本科,5-8K,,,福惠康,其他生活服务,100-499人,大连·中山区·胜利广场,数学/统计相关专业
【全职居家办公】数据产品经理,3-5年,本科,7-8K,,,坦重晟,不需要融资,100-499人,大连·中山区·二七,"市场调研,需求分析,产品设计,产品运营,产品/版本迭代,Axure,墨刀"
分析员,3-5年,本科,6-7K,,,大连乙巳,化工,20-99人,大连,"有机品,无机品"
软件需求分析师,3-5年,本科,5-8K,,,辽宁瀚高科技有限公司,互联网,0-20人,大连·甘井子区·山东路,"软件研发经验,软件需求分析管理经验,985、211大学毕业"
对日数据分析师,3-5年,本科,25-35K,,,英飞思科技,计算机软件,0-20人,大连·甘井子区·万达,"SQL,Python,R"
EXCEL数据处理员,经验不限,大专,3-5K,,,秀仆科技,未融资,20-99人,大连·沙河口区·星海湾,"大数据分析,数据挖掘,数据处理"
信息数据统计员,经验不限,大专,6-8K,,,大连百事佳集团,4S店/后市场,100-499人,大连·甘井子区·大连北站,"数据分析,Excel,函数"
数据录入专员,经验不限,大专,3-4K,,,三沅工业,未融资,20-99人,大连·金州区·双D港,日语相关
金融分析师,经验不限,大专,6-8K,,,沈阳美华股权投资...,不需要融资,20-99人,大连·甘井子区·高新园区,抗压能力强
大数据测试（双休-五险一金-年终奖）,经验不限,大专,10-11K·13薪,,,软通动力,已上市,10000人以上,大连·沙河口区·星海湾,"dataworks,maxcompute,大数据测试"
实验室分析员,经验不限,大专,3-5K,,,中科环境检测(大连),检测/认证,20-99人,大连·甘井子区·山东路,"实验室技术员,化学分析,仪器仪表,化学检测,微生物检测,化验员"
数据分析师,经验不限,大专,5-8K,,,东方之星,未融资,20-99人,大连·甘井子区·高新园区,"数据挖掘,需求分析,行业分析,Excel,SPSS"
数据分析员,经验不限,大专,3-5K,,,必由学,未融资,20-99人,大连·甘井子区·高新园区,"数据分析,数据处理"
数据开发/数据分析TL,经验不限,大专,10-15K,,,极艾特,未融资,20-99人,大连·甘井子区·万达,"SQL,Python,计算机相关专业,数学/统计相关专业,数据分析/挖掘经验"
数据分析师,经验不限,大专,10-15K,,,诺思泉,大数据,0-20人,大连·中山区·二七,"Hadoop,SQL,描述统计"
数据统计员,经验不限,大专,3-5K,,,本赞,不需要融资,20-99人,大连·甘井子区·溪之谷,数学/统计学专业
SQL数据分析员,经验不限,大专,5-6K,,,大连蓝鲸优创科技,不需要融资,100-499人,大连·中山区·人民路,"SQL,Python,SPSS"
电商数据运营,经验不限,大专,4-5K,,,大连康泰,电子商务,0-20人,大连·甘井子区·华南,"业务数据分析,用户深度研究,数据分析/商业分析经验"
金融衍生品分析师,经验不限,大专,100-200元/天,,,融益兴,进出口贸易,20-99人,大连·沙河口区·星海湾,"期货研究,数据挖掘和分析为主"
产品需求分析师,经验不限,大专,12-24K,,,芯瑞达科技,已上市,1000-9999人,大连·甘井子区·七贤岭,计算机相关专业
大数据信用专员,经验不限,大专,10-15K,,,大连君盛和法律服务,法律,20-99人,大连·中山区·人民路,"企业（To B）,电话销售经验,网络营销经验,对企业/机构（To B）销售经验,互联网/科技,O2O,公关/传媒,软件/企业服务产品,其他产品/服务,招商/商户拓展,电话销售,网络销售,不限,不接受居家办公,有电销经验优先,兼职、全职均可,电话销售工作经验"
日语数据分析实习生,经验不限,大专,110-120元/天,,,维布络,已上市,10000人以上,大连·甘井子区·生态新城,全职
财务分析专员，财务BP,经验不限,大专,4-6K,,,自然之星,未融资,1000-9999人,大连·甘井子区·南关岭,财务BP
数据处理专员,经验不限,大专,300-350元/天,,,瀚闻资讯,不需要融资,20-99人,大连·甘井子区·高新园区,"Python,Hive,计算机相关专业,数学/统计相关专业,大数据处理经验,Hadoop,Impala,数据挖掘,大数据,Python,SQL"
数据统计实习生,经验不限,大专,60-100元/天,,,亿德市政,工程施工,20-99人,大连·旅顺口区·旅顺,"office,word,数据统计"
数据开发,经验不限,大专,7-8K,,,亿达信息,不需要融资,1000-9999人,大连·甘井子区·高新园区,"Hive,Spark,ETL开发经验,sql调优"
策略分析管培生（三个月后到苏州总部）,经验不限,大专,5-8K,,,喜家德虾仁水饺,不需要融资,10000人以上,大连·甘井子区·辛寨子,"业务数据分析,投放数据分析,数据分析/商业分析经验,统计/数学相关专业"
部门数据助理,经验不限,大专,5-6K,,,海马中际集团,未融资,500-999人,大连·甘井子区·七贤岭,"咨询,教育,互联网,文件起草,会务管理,国企,外企,董事会秘书资格证,vlookup,excel"
数据专员,经验不限,大专,4-5K,,,辽宁聪衡佳世伟业...,医疗器械,20-99人,大连·中山区·老虎滩,数据统计数据分析助理
人事业务分析师,经验不限,大专,20-30K,,,某大型计算机服务公司,不需要融资,500-999人,大连,人力资源规划
催化分析测试高级工程师,经验不限,大专,8-13K,,,易科研,未融资,0-20人,大连·甘井子区·万达,"化工工程师证,化学检测,材料研发,化学化纤,精细化学品研发,物理检测,无机品,石油化工"
dba数据库工程师,经验不限,大专,10-15K·13薪,,,北京海量数据,已上市,500-999人,大连·金州区·湾里,"Oracle,MySQL"
证券分析师,经验不限,大专,8-12K,,,米高朗,证券/期货,20-99人,大连·中山区·人民路,证券分析
数据处理专员,经验不限,大专,4-6K,,,元初体验,互联网,20-99人,大连·沙河口区·西安路,"金融行业数据相关经验,数据分析/挖掘经验,风控相关经验"
数据库（SQL）代码审核,经验不限,大专,6-7K,,,紫南科技,互联网,20-99人,大连·甘井子区·七贤岭,"Python,计算机相关专业,大数据开发经验,sql,SQL代码审核,数据库"
